ranking_name,judge_model,prompt_template,rank,metric_column,metric_value
primary_scotts_pi,kimi_k2_6,minimal,1,scotts_pi,0.9622599123890825
primary_scotts_pi,gemini_3_1_pro,minimal,2,scotts_pi,0.8723982643570862
primary_scotts_pi,claude_sonnet_4_6,minimal,3,scotts_pi,0.8625204582651392
primary_scotts_pi,mimo_v2_5_pro,minimal,4,scotts_pi,0.8563493583604671
primary_scotts_pi,glm_5_1,minimal,5,scotts_pi,0.8551252079779279
primary_scotts_pi,gpt_5_5,minimal,6,scotts_pi,0.852015353725992
primary_scotts_pi,claude_opus_4_7,minimal,7,scotts_pi,0.849659795628799
primary_scotts_pi,qwen_3_6_max,minimal,8,scotts_pi,0.8101922020629682
primary_scotts_pi,qwen_3_6_plus,minimal,9,scotts_pi,0.806686723644739
primary_scotts_pi,deepseek_v4_pro,minimal,10,scotts_pi,0.8010105852425172
primary_scotts_pi,grok_4_3,minimal,11,scotts_pi,0.7981108669146447
primary_scotts_pi,gemini_3_flash,minimal,12,scotts_pi,0.7926452494873548
primary_scotts_pi,deepseek_v4_flash,minimal,13,scotts_pi,0.7673179552772021
primary_scotts_pi,gpt_oss_120b,minimal,14,scotts_pi,0.723133878092202
primary_scotts_pi,nemotron_3_super,minimal,15,scotts_pi,0.7003143409096328
primary_scotts_pi,k_exaone_236b_a23b,minimal,16,scotts_pi,0.6706188156310549
primary_scotts_pi,solar_pro_3,minimal,17,scotts_pi,0.6185010373821194
percent_agreement,kimi_k2_6,minimal,1,percent_agreement,0.9940476190476191
percent_agreement,mimo_v2_5_pro,minimal,2,percent_agreement,0.976
percent_agreement,gemini_3_1_pro,minimal,3,percent_agreement,0.9576629974597799
percent_agreement,claude_sonnet_4_6,minimal,4,percent_agreement,0.9533333333333334
percent_agreement,glm_5_1,minimal,5,percent_agreement,0.9510961214165261
percent_agreement,gpt_5_5,minimal,6,percent_agreement,0.9490818030050083
percent_agreement,claude_opus_4_7,minimal,7,percent_agreement,0.9475
percent_agreement,qwen_3_6_max,minimal,8,percent_agreement,0.9391666666666667
percent_agreement,qwen_3_6_plus,minimal,9,percent_agreement,0.9383333333333334
percent_agreement,gemini_3_flash,minimal,10,percent_agreement,0.9341666666666667
percent_agreement,deepseek_v4_pro,minimal,11,percent_agreement,0.9281537176274018
percent_agreement,grok_4_3,minimal,12,percent_agreement,0.9275
percent_agreement,deepseek_v4_flash,minimal,13,percent_agreement,0.9174311926605505
percent_agreement,k_exaone_236b_a23b,minimal,14,percent_agreement,0.9019607843137255
percent_agreement,gpt_oss_120b,minimal,15,percent_agreement,0.896580483736447
percent_agreement,nemotron_3_super,minimal,16,percent_agreement,0.890742285237698
percent_agreement,solar_pro_3,minimal,17,percent_agreement,0.8725
absolute_score_gap,solar_pro_3,minimal,1,score_delta,0.0008333333333333526
absolute_score_gap,kimi_k2_6,minimal,2,score_delta,0.005952380952380931
absolute_score_gap,mimo_v2_5_pro,minimal,3,score_delta,0.008000000000000007
absolute_score_gap,gemini_3_1_pro,minimal,4,score_delta,0.008467400508044065
absolute_score_gap,claude_sonnet_4_6,minimal,5,score_delta,0.010000000000000009
